  #        id       flux         zspecflag    redshift       detectprob  soft/hard_ratio  optical_id
        2152   1.65999992E-14           1  0.626999974               1  0.734939814            2152
        2154   5.56999989E-14           1   1.84500003               1  0.113285460            2154
        2166   3.79000013E-14           0  0.970000029               1  0.535620034            2166
        2169   9.82000024E-15           1   1.77600002               1  0.772912383            2169
        2177   1.77000003E-14           1   1.26400006               1  0.604519725            2177
        2178   1.89999993E-14           1   1.51699996               1  0.763157904            2178
        2184   3.88000009E-14           0   2.46000004               1  0.435566992            2184
        2186   6.87000006E-15           0  0.259999990               1  0.720524013            2186
        2187   8.29999962E-15           1   1.30100000               1  0.802409649            2187
        2191   8.56999984E-15           1  0.620999992               1  0.892648816            2191
        2195   2.23999997E-14           1  0.425000012               1  0.522321463            2195
        2199   4.16000005E-14           1  0.852999985               1  0.562500000            2199
        2200   1.42999999E-14           1   1.85699999               1  0.651048958            2200
        2202   7.55000022E-15           1   1.51600003               1  0.610596001            2202
        2204   1.53999992E-14           1   1.18799996               1  0.601298690            2204
        2206   4.46999988E-14           0   2.41000009               1  0.230425075            2206
        2207   1.65999992E-14           1  0.748000026               1  0.698795199            2207
        2208   5.97000002E-14           0   1.13000000               1  0.106365159            2208
        2209   1.92999998E-14           1   2.05500007               1  0.569948196            2209
        2210   1.56000006E-14           1  0.967999995               1  0.224999979            2210
        2211   2.25999995E-14           1   1.24800003               1  0.455752224            2211
        2213   1.15000003E-14           1  0.957000017               1  0.569565177            2213
        2216   1.35000001E-14           1   1.51600003               1  0.682962954            2216
        2217   2.11000007E-14           1   1.17100000               1  0.516587675            2217
        2218   1.27000004E-14           1  0.247999996               1  0.546456695            2218
        2219   1.97999999E-14           0  0.800000012               1  0.477777779            2219
        2220   1.49000007E-14           1  0.995000005               1  0.738255024            2220
        2226   1.46000003E-14           0  0.699999988               1  0.345890403            2226
        2228   2.82999993E-14           1   1.12000000               1  0.650176704            2228
        2232   1.11000000E-14           1   1.63900006               1  0.401801795            2232
        2234   1.16000002E-14           1  0.693000019               1  0.562068939            2234
        2235   1.82000004E-14           0   1.03999996               1  0.554945052            2235
        2236   1.75000005E-14           0   1.79999995               1  0.435999990            2236
        2237   2.99999995E-14           1  0.944000006               1  0.159000009            2237
        2244   1.49999997E-14           1   1.91600001               1  0.659333348            2244
        2246   1.58000003E-14           1  0.898999989               1  0.658227861            2246
        2248   1.00999997E-14           1  0.910000026               1  0.556435645            2248
        2249   1.08000004E-14           0  0.819999993               1  0.624074042            2249
        2258   1.58999993E-14           0   1.72000003               1  0.483018905            2258
        2261   1.42000000E-14           1   1.23399997               1  0.571830988            2261
        2265   1.70000004E-14           1   2.27300000               1  0.436470598            2265
        2276   6.19999996E-15           1   2.20400000               1  0.608064532            2276
        2280   1.42999999E-14           1  0.930000007               1  0.354545444            2280
        2282   1.33000004E-14           1   1.54100001               1  0.347368419            2282
        2289   1.53000002E-14           1  0.833000004               1  0.199999988            2289
        2291   6.55999997E-15           1  0.827000022               1   1.11890233            2291
        2299   1.03000003E-14           1   1.57099998               1  0.371844649            2299
        2309   9.64999988E-15           0  0.740000010               1  0.774093211            2309
        2318   2.13000004E-14           0   1.75000000               1  0.145539910            2318
        2333   1.25999996E-14           1   1.61800003               1  0.546031773            2333
        2335   1.39000004E-14           1   1.36000001               1  0.748201430            2335
        2336   1.35000001E-14           0   1.75999999               1  0.137777776            2336
        2340   1.31999997E-14           1  0.976999998               1  0.728787899            2340
        2342   1.61999998E-14           1   1.17100000               1  0.641975343            2342
        2344   7.01000020E-15           1   2.38899994               1  0.751783192            2344
        2352   6.41000018E-15           1  0.658999979               1  0.968798757            2352
        2353   1.36000000E-14           1   1.12199998               1  0.188970596            2353
        2359   2.88999984E-14           1   1.40600002               1  0.280968875            2359
        2361   1.17999999E-14           1   1.16299999               1  0.562711895            2361
        2365   6.85999998E-15           1  0.421999991               1  0.441690952            2365
        2370   1.28000002E-14           1  0.638999999               1  0.270312488            2370
        2382   9.73999967E-15           0   1.66999996               1  0.455852181            2382
        2387   1.23999999E-14           1  0.898999989               1  0.343548417            2387
        2390   1.23999999E-14           0   2.82999992               1  0.189516127            2390
        2391   1.42999999E-14           0   1.55999994               1  0.400699317            2391
        2394   7.73999988E-15           1   3.33299994               1  0.435400516            2394
        2407   2.06999995E-14           1  0.927999973               1  0.550724626            2407
        2408   8.32999983E-15           1   1.26999998               1  0.181272522            2408
        2410   8.66999970E-15           1   1.16700006               1  0.384083062            2410
        2413   1.70000004E-14           1  0.838999987               1  0.133529410            2413
        2414   1.08000004E-14           0   1.63999999               1  0.595370352            2414
        2416   1.05000000E-14           1  0.518000007               1  0.534285724            2416
        2421   1.10000001E-14           1   3.09699988               1  0.474545479            2421
        2422   1.09000003E-14           1  0.832000017               1  0.340366960            2422
        2425   1.23000001E-14           1   1.17299998               1   9.02439058E-02        2425
        2429   1.02000004E-14           1  0.870000005               1  0.148039207            2429
        2433   1.66999999E-14           1   1.43299997               1  0.517964125            2433
        2434   7.09999999E-15           1   1.14800000               1  0.488732398            2434
        2435   1.35000001E-14           1  0.730000019               1  0.441481471            2435
        2436   1.56000006E-14           0  0.300000012               1  0.513461530            2436
        2439   9.52999988E-15           1  0.736000001               1  0.506820560            2439
        2440   7.37999986E-15           1   1.17499995               1  0.392953932            2440
        2447   1.13999996E-14           0   1.17999995               1  0.521052659            2447
        2448   5.51999979E-15           1  0.529999971               1  0.416666687            2448
        2464   1.11000000E-14           0   1.25999999               1  0.354954958            2464
