#          name  xid     coordra    coorddec    fluxsoft     fluxmed    fluxhard flagcat       hr       chid	flagnew       id    idnew        r        i     knew     ch1new     ch2new     ch3new     ch4new       flux24	zspec  class flagredshift       zphot
#	#	#
XMMC_150.05533+2.14274  105 150.0552368   2.1431749    3.60e-15    2.48e-14    1.53e-14     1     0.15      458 	    1  1674760  1041556    25.64    25.09    22.22       7.84       9.12       6.70      13.08       0.32 	 -99.000    -99    -99     1.60  
XMMC_150.15850+2.41549  106 150.1583500   2.4154340    3.67e-15    1.38e-14   -1.54e-14     1    -0.14       78 	    1  1971617  1228235    24.76    23.05    20.47      42.12      43.95      46.77      59.70       0.19 	 -99.000    -99    -99     1.26  
XMMC_150.23651+2.81342  107 150.2364700   2.8136740    1.15e-14    2.30e-14   -3.37e-14     1    -0.44      -99 	    1  3021002  1877176    22.91    22.21    21.49      16.88      25.29      32.50      52.17       0.11 	 -99.000    -99    -99     1.53  
XMMC_150.12214+1.91301  108 150.1221500   1.9131830    5.30e-15    1.38e-14    9.19e-15     1    -0.32      257 	    1   891564   551521    24.97    24.11    21.26      22.44      37.55      62.71     117.47       0.68 	 -99.000    -99    -99     1.57  
XMMC_150.45672+2.64796  109 150.4566300   2.6481850    6.36e-15    9.87e-15   -2.44e-14     1    -0.53      -99 	    1  2627796  1635348    20.87    20.51    19.91      44.22      55.35      80.18     117.07       0.51 	   2.050      1      5     2.06  
XMMC_150.09153+2.39911  110 150.0915400   2.3990790    7.52e-15    8.89e-15   -1.35e-14     1    -0.61       72 	    1  1975407  1230594    22.74    22.06    20.66      15.67      17.23      23.14      41.79       0.20 	   2.473      1      5     2.46  
XMMC_150.33443+2.56110  111 150.3344100   2.5614980    7.90e-15    1.32e-14   -2.35e-14     1    -0.49      629 	    1  2292946  1425768    20.69    20.26    19.97      54.53      82.08     133.98     191.97       0.53 	   1.834      1      1     1.83  
XMMC_149.77926+2.23240  112 149.7790800   2.2327390    3.81e-15    1.89e-14   -1.67e-14     1     0.02      405 	    1  1693425  1052917    22.88    21.30    19.64      61.12      44.84      49.29      44.82       0.39 	   0.762      2      5     0.56  
XMMC_149.89835+2.09371  113 149.8979200   2.0939170    5.62e-15    1.14e-14   -1.05e-14     1    -0.44      342 	    1  1281796   795787    22.39    21.90    21.36      13.37      18.07      23.50      40.87       0.12 	   1.910      1      5     1.97  
XMMC_150.31163+1.97808  114 150.3118500   1.9779500    8.53e-15    1.67e-14   -1.64e-14     1    -0.43      377 	    1  1230297   762931    22.64    22.23    20.98      15.73      19.95      30.46      48.16       0.15 	   2.350      1      5     2.33  
XMMC_150.54465+2.50725  115 150.5446900   2.5072410    2.36e-14    3.37e-14    1.68e-14     1    -0.56      -99 	    1  2266118  1411758    19.75    19.48    19.21      99.33     140.27     200.08     287.21       1.41 	   1.161      1      1     1.34  
XMMC_150.20604+2.28578  116 150.2062900   2.2857680    6.85e-15    9.68e-15    7.65e-15     1    -0.57       22 	    1  1600414   994808    23.34    22.13    20.80      25.99      23.78      24.66      29.19       0.14 	   0.874      2      3     0.75  
XMMC_150.05589+2.23338  117 150.0559100   2.2334730    3.00e-15    7.65e-15   -6.81e-15     1    -0.32      957 	    1  1653104  1028126    22.26    20.76    19.24     155.91     171.35     215.48     301.44       1.56 	   0.936      2      3     0.95  
XMMC_149.89547+2.23947  118 149.8953900   2.2394960    4.30e-15    6.00e-15   -4.02e-15     1    -0.56      403 	    1  1651451  1026960    21.10    20.77    20.37      41.89      60.63      90.13     107.14       0.49 	   1.734      1      2     1.74  
XMMC_150.34227+2.22604  119 150.3424100   2.2262460    1.79e-14    3.42e-14    1.69e-14     1    -0.44      935 	    1  1575914   978373    22.58    21.73    20.02      55.84      60.43      74.91     112.00       0.61 	   0.891      2      3     0.78  
XMMC_149.69587+2.26452  120 149.6958400   2.2645200    1.01e-14    4.70e-14    1.60e-14     1    -0.03      428 	    1  1724510  1073075    21.90    20.47    18.68     174.84     200.34     267.97     366.57       1.60 	   0.552      2      5     0.50  
XMMC_150.17131+2.56387  121 150.1713200   2.5640580    5.47e-15    1.16e-14   -1.46e-14     1    -0.41      116 	    1  2331196  1450142    22.07    20.94    19.68      36.25      30.53      32.95      28.56       0.07 	   0.502      2      5     0.50  
